"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"SWEET, LATE",22,15,0,0,0,0,0,0,0,0
"SWENSON RED",5,7,6,9,7,11,11,9,11,10
"SWENSON WHITE",0,0,0,0,0,0,0,0,3,3
"SWITCH",716,711,861,805,785,735,738,724,708,719
"SWW",0,0,0,1,1,2,2,4,0,0
"SYLVANER",0,0,1,3,2,2,2,4,3,2
"SYMPHONY",5,6,13,14,11,13,7,4,2,2
"SYRAH/FRENCH SYRH SHIRAZ",73,68,137,125,124,139,141,128,125,133
"TAHITI LIMES",7,6,9,8,8,6,12,8,7,10
"TANGANYIKA TROPICAL",1,0,0,0,0,0,0,0,0,0
"TANNAT",3,4,8,13,17,19,24,23,24,29
"TANSY",0,2,2,1,3,3,1,3,2,1
"TARRAGON",9,6,8,10,6,3,5,1,1,5
"TART",129,127,158,163,158,152,161,166,170,160
"TAYBERRIES",0,0,2,4,5,0,2,0,2,4
"TEBO",4,4,4,4,3,3,2,3,3,1
"TEMPLE",5,6,0,2,0,0,14,15,12,20
"TEMPRANILLO/VALDEPENAS",20,23,47,53,63,55,78,80,76,83
"TER",0,0,0,0,0,1,9,16,0,0
"TEROLDEGO",0,0,0,0,0,0,0,0,16,21
"TGA",0,0,0,0,0,0,0,4,0,0
"THAI",0,0,4,4,4,2,2,4,0,4
"THICK SPIKE WHEATGRASS",18,17,17,17,14,14,15,16,20,20
"THISTLE GLOBE",3,2,2,2,4,2,1,3,5,2
"THOMPSON SEEDLESS",24,23,33,28,31,36,34,35,37,35
"THREADFIN SHAD",0,0,2,0,2,2,2,4,4,6
"THYME",20,22,25,25,21,15,28,25,29,21
"TIGER EYE KIDNEY",2,1,6,3,2,2,0,5,0,0
"TIGRIDIA",0,0,0,0,0,0,0,0,0,2
"TIMOTHY",614,656,1138,934,950,954,1032,1036,1055,1106
"TINTA MADERA",2,2,10,8,8,9,6,6,6,10
"TOBASCO",0,3,1,2,5,3,2,2,6,5
"TOC CHOY",3,3,14,8,6,6,6,7,7,7
"TOKAY",2,1,4,2,4,4,2,2,2,0
"TOKYO LONG WHITE BUNCH",0,2,5,4,4,2,1,2,0,0
"TOURIGA",0,0,0,0,0,0,0,0,4,10
"TRACHELIUM",0,0,0,0,0,0,2,2,0,0
"TRAILHEAD BASIN",1,1,1,1,2,1,1,1,0,0
"TRAILHEAD BASIN WILD RYE",5,5,9,7,6,14,12,12,8,8
"TRAMINETTE",46,48,73,83,86,115,124,117,116,107
"TRIPLE CROWN BLACKBERRIES",25,22,69,73,71,81,112,136,132,140
"TRIPLOID AMUR",0,0,2,2,4,8,4,6,6,2
"TRITOMA",1,1,2,1,2,0,0,0,0,0
"TROPICAL",20,20,58,45,33,39,29,30,32,30
"TROUT",16,13,23,18,14,20,19,24,19,15
"TRUDANE",1,1,2,2,3,3,2,7,4,3
"TUBEROSE",2,1,11,5,6,7,6,7,8,12
"TUFTED HAIRGRASS",7,7,15,16,16,17,21,30,33,34
"TULIP",3,3,7,6,7,5,7,4,5,7
"TUNDRA BLUEGRASS",3,2,1,1,2,2,1,3,3,5
"TURF",76,75,200,201,179,175,183,0,0,0
"TURMERIC",0,0,0,0,0,0,0,0,3,4
"TURNIP",111,104,140,137,100,117,98,113,99,91
"UMATILLA",1,1,1,0,2,0,0,1,1,2
"VA PINE",20,15,22,20,22,12,14,18,17,14
"VALENCIA",38,37,80,62,60,72,87,78,72,106
"VALENCIA PEANUTS",47,54,83,85,62,50,55,66,81,51
"VALIANT",6,7,10,10,14,12,16,16,16,19
"VALVIN MUSCAT",0,0,1,4,4,4,4,7,8,6
"VANESSA",5,5,9,5,7,11,9,11,12,13
"VELVET",0,1,5,3,1,1,1,2,1,1
"VENIFERA",5,7,14,17,21,16,15,14,15,19
"VENTURA",1,3,4,6,4,4,2,3,2,2
"VENUS",2,3,5,5,4,5,9,8,9,11
"VERBENA",4,6,6,5,6,5,8,6,10,9
"VERDELET BLANC",2,2,10,8,10,5,6,7,5,5
"VERDELHO",0,0,0,0,0,0,0,0,2,4
"VERNAL",2,1,4,0,0,1,4,6,7,0
"VERONICA",1,2,1,1,1,1,1,1,1,2
"VETIVER",0,0,0,0,0,0,2,1,3,2
"VHO",0,0,0,0,0,0,4,4,0,0
"VIDAL",13,16,24,28,26,35,37,36,32,40
"VIDAL BLANC",36,33,56,53,57,72,77,78,70,70
"VIGNOLES",48,52,71,63,70,84,88,69,77,79
"VILLARD BLANC",8,9,6,5,6,12,9,6,5,6
"VILLARD NOIR",1,1,2,3,2,2,2,2,2,2
"VINCENT",2,2,3,4,4,5,6,8,9,10
"VINE SPINACH",11,7,28,16,18,22,24,21,17,20
"VIRGINIA PEANUTS",134,120,191,189,212,208,175,203,210,213
"VIRGINIA WILD RYE",4,5,7,7,5,2,3,0,0,0
"VIRGINIA WILDRYE",3,3,2,3,5,5,5,11,14,11
"VITIS LABRUSCA",0,0,1,1,1,1,2,2,2,4
"VITIS VINIFERA",9,8,12,16,16,20,14,14,12,19
"VIVANT",3,1,1,1,1,2,1,0,0,1
"VOIGNIER",37,36,78,79,86,92,95,102,96,101
"WAINAKU",0,0,1,1,1,1,1,1,1,1
"WATER FOXTAIL",3,0,1,2,2,3,2,2,4,2
"WATER HYACINTH",0,0,0,0,0,0,0,0,1,2
"WATER SPINACH",5,3,16,11,4,9,7,11,5,7
"WAXFLOWER",0,1,0,3,3,2,2,2,2,2
"WAXY",0,0,0,0,0,0,0,0,54,72
"WAXY BARLEY",2,3,8,6,4,8,4,0,0,0
"WEEPING LOVEGRASS",175,170,161,157,154,158,168,165,166,158
"WESTERN WHEATGRASS",226,209,339,316,299,291,292,321,317,314
"WHEAT- SLENDER",0,0,0,36,33,33,45,42,0,0
"WHEAT- TALL",0,0,0,215,208,208,214,197,0,0
"WHEAT  SLENDER",0,0,0,0,0,0,0,0,32,41
"WHEAT  TALL",0,0,0,0,0,0,0,0,196,206
"WHEAT SLENDER",0,0,26,0,0,0,0,0,0,0
"WHEAT STREAMBANK",11,9,8,7,9,9,9,9,7,9
"WHEAT TALL",0,0,200,0,0,0,0,0,0,0
"WHEAT, SLENDER",18,16,0,0,0,0,0,0,0,0
"WHEAT, TALL",186,181,0,0,0,0,0,0,0,0
"WHEELER BLUEGRASS",0,0,3,1,1,1,1,1,0,0
"WHITE",332,318,617,498,531,498,606,598,586,508
"WHITE ADZUKI",4,6,5,5,2,4,0,1,2,2
"WHITE CAYUGA",9,9,6,7,8,8,11,13,13,11
"WHITE CLOVER",163,162,240,214,217,207,242,241,241,238
"WHITE HALF RUNNER",25,25,48,32,39,28,38,44,48,47
"WHITE KIDNEY",24,24,34,40,46,59,67,43,45,40
"WHITE MALAGA",1,1,0,0,0,0,0,0,0,0
"WHITE PINE",66,56,102,92,98,108,109,116,108,104
"WHITE PRAIRIE CLOVER",8,6,15,14,14,19,10,12,16,18
"WHITE RIESLING/JOHANNISBERG",19,18,40,32,34,28,28,22,21,22
"WHITE SAPOTE",1,1,2,0,2,2,2,0,2,4
"WHITE SPRUCE",48,45,51,43,42,53,49,60,57,56
"WHITE/PEARL TILAPIA",0,0,0,2,2,4,4,4,2,4
"WHITES",842,833,1371,1302,1241,1139,1161,1169,1164,1039
"WILD BERGAMOT",0,0,0,0,0,0,0,0,1,1
"WILD BERGANOT",1,2,5,0,1,0,0,2,0,0
"WILD GYP",9,7,1,3,1,0,1,0,2,0
"WILDFLOWERS",52,50,125,130,138,141,145,156,196,212
"WILMON LOVEGRASS",53,55,70,74,63,67,70,82,90,91
"WING",1,0,0,2,2,0,2,0,0,0
"WINTER",1349,1277,1627,1696,1674,1591,1562,1523,1387,1209
"WINTER BARLEY",837,838,1050,1148,1300,1320,1175,1139,1066,992
"WINTER SQUASH",423,403,592,581,556,505,543,540,523,521
"WINTERFAT",0,0,4,2,2,2,1,1,1,1
"WITLOOF",1,1,0,0,0,1,0,0,0,0
"WOOD LILIES",1,0,1,0,1,0,0,0,0,0
"WORM GRASS",1,0,0,0,1,0,0,0,0,0
"WRINKLED SEED",32,31,50,38,54,63,58,60,47,42
"WXY",0,0,0,19,27,33,40,63,0,0
"XANTHOSOMA",0,0,2,0,0,0,3,1,0,1
"XERANTHEMUM",0,0,0,1,0,0,0,0,3,2
"YARDLONG",5,5,2,9,5,3,6,3,5,0
"YARROW",10,8,19,13,14,13,13,17,16,17
"YELLOW",6371,6263,9597,8038,9382,8801,9245,8788,8777,8502
"YELLOW BLUESTEM",43,41,42,42,47,41,42,42,46,52
"YELLOW EYE",31,37,40,56,58,42,42,59,71,60
"YELLOW HYBRID",244,247,478,471,424,398,411,428,413,362
"YELLOW VARIETY",260,258,301,331,337,327,380,400,477,542
"YU CHOY",6,9,10,6,6,5,4,10,5,7
"ZINFANDEL",54,53,100,88,97,87,88,91,85,89
"ZINNIA",41,41,74,52,41,32,32,42,48,66
"ZOYSIA",89,84,163,162,157,147,142,173,175,179
"ZUCCHINI SQUASH",498,487,759,755,673,634,715,714,671,661
"ZWE",0,0,0,1,4,6,5,5,0,0
"ZWEIGELTREBE",0,0,0,0,0,0,0,0,6,8
